date,campaign_name,channel,impressions,clicks,conversions,revenue,ad_spend,reach,ctr,conversion_rate
2024-01-10,Growth Campaign A,Google Ads,15800,869,86,5160,1240,12600,5.5,9.89
2024-01-10,Growth Campaign B,Facebook,12800,512,41,2214,990,10600,4.0,8.01
2024-01-10,Holiday Promotion,Instagram,8200,328,24,1680,620,6600,4.0,7.32
2024-01-10,Brand Awareness,Google Ads,20200,606,36,1800,1500,16200,3.0,5.94
2024-01-10,Retargeting Campaign,Facebook,5400,486,73,4380,780,4900,9.0,15.02
2024-01-10,Email Blast,Email,3050,183,46,3220,200,2850,6.0,25.14
2024-02-01,Growth Campaign A,Google Ads,18000,990,110,6600,1350,14400,5.5,11.11
2024-02-01,Growth Campaign B,Facebook,15000,600,50,2700,1100,12500,4.0,8.33
2024-02-01,Holiday Promotion,Instagram,10000,400,30,2100,800,8200,4.0,7.5
2024-02-01,Brand Awareness,Google Ads,22000,660,44,2200,1600,17600,3.0,6.67
2024-02-01,Retargeting Campaign,Facebook,6200,558,84,5040,900,5700,9.0,15.05
2024-02-01,Email Blast,Email,3500,210,55,3850,250,3300,6.0,26.19
2024-02-02,Growth Campaign A,Google Ads,17200,946,95,5700,1300,13800,5.5,10.04
2024-02-02,Growth Campaign B,Facebook,14200,568,46,2484,1050,11800,4.0,8.1
2024-02-02,Holiday Promotion,Instagram,9200,368,28,1960,700,7400,4.0,7.61
2024-02-02,Brand Awareness,Google Ads,20800,624,37,1850,1550,16600,3.0,5.93
2024-02-02,Retargeting Campaign,Facebook,5800,522,79,4740,850,5300,9.0,15.14
2024-02-02,Email Blast,Email,3200,192,50,3500,220,3000,6.0,26.04
2024-02-03,Growth Campaign A,Google Ads,16500,908,91,5460,1280,13200,5.5,10.02
2024-02-03,Growth Campaign B,Facebook,13500,540,43,2322,1020,11200,4.0,7.96
2024-02-03,Holiday Promotion,Instagram,8800,352,26,1820,680,7100,4.0,7.39
2024-02-03,Brand Awareness,Google Ads,21000,630,42,2100,1550,16800,3.0,6.67
2024-02-03,Retargeting Campaign,Facebook,5600,504,76,4560,820,5100,9.0,15.08
2024-02-03,Email Blast,Email,3150,189,48,3360,210,2950,6.0,25.4
2024-02-04,Growth Campaign A,Google Ads,17800,979,98,5880,1310,14200,5.5,10.01
2024-02-04,Growth Campaign B,Facebook,14800,592,48,2592,1070,12300,4.0,8.11
2024-02-04,Holiday Promotion,Instagram,9600,384,29,2030,740,7800,4.0,7.55
2024-02-04,Brand Awareness,Google Ads,21500,645,43,2150,1600,17200,3.0,6.67
2024-02-04,Retargeting Campaign,Facebook,6000,540,81,4860,900,5500,9.0,15.0
2024-02-04,Email Blast,Email,3300,198,51,3570,220,3100,6.0,25.76
2024-02-05,Growth Campaign A,Google Ads,16200,891,89,5340,1270,12950,5.5,9.99
2024-02-05,Growth Campaign B,Facebook,13200,528,42,2268,1010,10950,4.0,7.95
2024-02-05,Holiday Promotion,Instagram,8600,344,25,1750,660,7000,4.0,7.27
2024-02-05,Brand Awareness,Google Ads,20400,612,37,1850,1500,16300,3.0,6.05
2024-02-05,Retargeting Campaign,Facebook,5400,486,73,4380,780,4900,9.0,15.02
2024-02-05,Email Blast,Email,3000,180,45,3150,200,2800,6.0,25.0
2024-02-06,Growth Campaign A,Google Ads,17600,968,97,5820,1300,14050,5.5,10.02
2024-02-06,Growth Campaign B,Facebook,14600,584,47,2538,1070,12100,4.0,8.05
2024-02-06,Holiday Promotion,Instagram,9400,376,28,1960,730,7600,4.0,7.45
2024-02-06,Brand Awareness,Google Ads,21200,636,42,2100,1600,17000,3.0,6.6
2024-02-06,Retargeting Campaign,Facebook,5800,522,79,4740,850,5300,9.0,15.14
2024-02-06,Email Blast,Email,3250,195,50,3500,220,3050,6.0,25.64
2024-02-07,Growth Campaign A,Google Ads,15800,869,87,5220,1240,12600,5.5,10.01
2024-02-07,Growth Campaign B,Facebook,12800,512,41,2214,990,10600,4.0,8.01
2024-02-07,Holiday Promotion,Instagram,8200,328,24,1680,620,6600,4.0,7.32
2024-02-07,Brand Awareness,Google Ads,20200,606,36,1800,1500,16200,3.0,5.94
2024-02-07,Retargeting Campaign,Facebook,5200,468,71,4260,750,4700,9.0,15.17
2024-02-07,Email Blast,Email,3050,183,46,3220,200,2850,6.0,25.14
2024-02-08,Growth Campaign A,Google Ads,18200,1001,110,6600,1360,14560,5.5,10.99
2024-02-08,Growth Campaign B,Facebook,15200,608,50,2700,1110,12600,4.0,8.22
2024-02-08,Holiday Promotion,Instagram,9800,392,30,2100,780,7900,4.0,7.65
2024-02-08,Brand Awareness,Google Ads,22000,660,44,2200,1600,17600,3.0,6.67
2024-02-08,Retargeting Campaign,Facebook,6200,558,84,5040,900,5700,9.0,15.05
2024-02-08,Email Blast,Email,3400,204,54,3780,230,3200,6.0,26.47
2024-02-09,Growth Campaign A,Google Ads,17000,935,94,5640,1300,13600,5.5,10.05
2024-02-09,Growth Campaign B,Facebook,14000,560,45,2430,1050,11600,4.0,8.04
2024-02-09,Holiday Promotion,Instagram,9000,360,27,1890,720,7300,4.0,7.5
2024-02-09,Brand Awareness,Google Ads,21000,630,42,2100,1550,16800,3.0,6.67
2024-02-09,Retargeting Campaign,Facebook,5800,522,79,4740,850,5300,9.0,15.14
2024-02-09,Email Blast,Email,3200,192,49,3430,210,3000,6.0,25.52
2024-02-10,Growth Campaign A,Google Ads,16300,897,90,5400,1260,13050,5.5,10.03
2024-02-10,Growth Campaign B,Facebook,13300,532,43,2322,1010,11000,4.0,8.08
2024-02-10,Holiday Promotion,Instagram,8500,340,25,1750,650,6800,4.0,7.35
2024-02-10,Brand Awareness,Google Ads,20500,615,37,1850,1550,16400,3.0,6.02
2024-02-10,Retargeting Campaign,Facebook,5500,495,75,4500,800,5000,9.0,15.15
2024-02-10,Email Blast,Email,3100,186,48,3360,210,2900,6.0,25.81
2024-03-01,Growth Campaign A,Google Ads,19500,1073,118,7080,1450,15600,5.5,11.01
2024-03-01,Growth Campaign B,Facebook,16500,660,55,2970,1200,13700,4.0,8.33
2024-03-01,Holiday Promotion,Instagram,11000,440,33,2310,880,9000,4.0,7.5
2024-03-01,Brand Awareness,Google Ads,23000,690,46,2300,1700,18400,3.0,6.67
2024-03-01,Retargeting Campaign,Facebook,6800,612,92,5520,1000,6300,9.0,15.03
2024-03-01,Email Blast,Email,4000,240,63,4410,300,3800,6.0,26.25
2024-03-02,Growth Campaign A,Google Ads,18600,1023,110,6600,1380,14900,5.5,10.75
2024-03-02,Growth Campaign B,Facebook,15600,624,52,2808,1160,12900,4.0,8.33
2024-03-02,Holiday Promotion,Instagram,10200,408,31,2170,820,8300,4.0,7.6
2024-03-02,Brand Awareness,Google Ads,22000,660,44,2200,1600,17600,3.0,6.67
2024-03-02,Retargeting Campaign,Facebook,6400,576,87,5220,950,5900,9.0,15.1
2024-03-02,Email Blast,Email,3800,228,61,4270,290,3600,6.0,26.75
2024-03-03,Growth Campaign A,Google Ads,17900,985,99,5940,1330,14300,5.5,10.05
2024-03-03,Growth Campaign B,Facebook,15000,600,50,2700,1100,12500,4.0,8.33
2024-03-03,Holiday Promotion,Instagram,9700,388,29,2030,740,7900,4.0,7.5
2024-03-03,Brand Awareness,Google Ads,21500,645,43,2150,1600,17200,3.0,6.67
2024-03-03,Retargeting Campaign,Facebook,6000,540,81,4860,900,5500,9.0,15.0
2024-03-03,Email Blast,Email,3600,216,57,3990,270,3400,6.0,26.39
2024-03-04,Growth Campaign A,Google Ads,19000,1045,105,6300,1420,15200,5.5,10.05
2024-03-04,Growth Campaign B,Facebook,16000,640,53,2862,1180,13300,4.0,8.28
2024-03-04,Holiday Promotion,Instagram,10400,416,31,2170,820,8500,4.0,7.45
2024-03-04,Brand Awareness,Google Ads,22500,675,45,2250,1650,18000,3.0,6.67
2024-03-04,Retargeting Campaign,Facebook,6600,594,89,5340,1000,6100,9.0,14.98
2024-03-04,Email Blast,Email,3900,234,64,4480,300,3700,6.0,27.35
2024-03-05,Growth Campaign A,Google Ads,18200,1001,100,6000,1360,14600,5.5,9.99
2024-03-05,Growth Campaign B,Facebook,15200,608,50,2700,1110,12600,4.0,8.22
2024-03-05,Holiday Promotion,Instagram,9800,392,30,2100,780,7900,4.0,7.65
2024-03-05,Brand Awareness,Google Ads,21800,654,44,2200,1600,17400,3.0,6.73
2024-03-05,Retargeting Campaign,Facebook,6200,558,84,5040,900,5700,9.0,15.05
2024-03-05,Email Blast,Email,3700,222,59,4130,280,3500,6.0,26.58
2024-03-06,Growth Campaign A,Google Ads,19800,1089,109,6540,1480,15850,5.5,10.01
2024-03-06,Growth Campaign B,Facebook,16800,672,56,3024,1240,13900,4.0,8.33
2024-03-06,Holiday Promotion,Instagram,10800,432,32,2240,860,8800,4.0,7.41
2024-03-06,Brand Awareness,Google Ads,23000,690,46,2300,1700,18400,3.0,6.67
2024-03-06,Retargeting Campaign,Facebook,6800,612,92,5520,1000,6300,9.0,15.03
2024-03-06,Email Blast,Email,4000,240,63,4410,300,3800,6.0,26.25
2024-03-07,Growth Campaign A,Google Ads,17800,979,98,5880,1310,14200,5.5,10.01
2024-03-07,Growth Campaign B,Facebook,14800,592,48,2592,1070,12300,4.0,8.11
2024-03-07,Holiday Promotion,Instagram,9600,384,29,2030,740,7800,4.0,7.55
2024-03-07,Brand Awareness,Google Ads,21500,645,43,2150,1600,17200,3.0,6.67
2024-03-07,Retargeting Campaign,Facebook,6000,540,81,4860,900,5500,9.0,15.0
2024-03-07,Email Blast,Email,3600,216,56,3920,270,3400,6.0,25.93
2024-03-08,Growth Campaign A,Google Ads,20000,1100,110,6600,1500,16000,5.5,10.0
2024-03-08,Growth Campaign B,Facebook,17000,680,57,3078,1260,14100,4.0,8.38
2024-03-08,Holiday Promotion,Instagram,11000,440,33,2310,880,9000,4.0,7.5
2024-03-08,Brand Awareness,Google Ads,23500,705,47,2350,1750,18800,3.0,6.67
2024-03-08,Retargeting Campaign,Facebook,7000,630,95,5700,1050,6500,9.0,15.08
2024-03-08,Email Blast,Email,4100,246,65,4550,310,3900,6.0,26.42
2024-03-09,Growth Campaign A,Google Ads,18500,1018,102,6120,1370,14800,5.5,10.02
2024-03-09,Growth Campaign B,Facebook,15500,620,51,2754,1130,12900,4.0,8.23
2024-03-09,Holiday Promotion,Instagram,10000,400,30,2100,800,8200,4.0,7.5
2024-03-09,Brand Awareness,Google Ads,22000,660,44,2200,1600,17600,3.0,6.67
2024-03-09,Retargeting Campaign,Facebook,6400,576,87,5220,950,5900,9.0,15.1
2024-03-09,Email Blast,Email,3800,228,61,4270,290,3600,6.0,26.75
2024-03-10,Growth Campaign A,Google Ads,17000,935,94,5640,1300,13600,5.5,10.05
2024-03-10,Growth Campaign B,Facebook,14000,560,46,2484,1050,11600,4.0,8.21
2024-03-10,Holiday Promotion,Instagram,9000,360,27,1890,720,7300,4.0,7.5
2024-03-10,Brand Awareness,Google Ads,21000,630,42,2100,1550,16800,3.0,6.67
2024-03-10,Retargeting Campaign,Facebook,5800,522,79,4740,850,5300,9.0,15.14
2024-03-10,Email Blast,Email,3600,216,57,3990,270,3400,6.0,26.39
